,start_date,end_date,town,super_petrol,diesel,kerosene
1393,15/10/2022,14/11/2022,Oldonyiro,180.67,165.36,149.29
1394,15/10/2022,14/11/2022,Eldas,189.34,174.04,157.98
1395,15/10/2022,14/11/2022,Bute,186.38,171.08,155.02
1396,15/10/2022,14/11/2022,Hadado,184.97,169.67,153.6
1397,15/10/2022,14/11/2022,Mai Mahiu,178.42,163.12,147.06
1398,15/10/2022,14/11/2022,Doldo,181.0,165.7,149.63
1399,15/10/2022,14/11/2022,Lamuria,180.12,164.82,148.75
1400,15/10/2022,14/11/2022,Sipili,180.98,165.68,149.62
1401,15/10/2022,14/11/2022,Marimanti,180.61,165.31,149.25
1402,15/10/2022,14/11/2022,Mutuobare,179.95,164.65,148.58
1403,15/10/2022,14/11/2022,North Horr,187.11,171.82,155.75
1404,15/10/2022,14/11/2022,Maikona,185.73,170.43,154.37
1405,15/10/2022,14/11/2022,Kalacha,186.27,170.97,154.91
1406,15/10/2022,14/11/2022,Loyangalani,186.34,171.04,154.97
1407,15/10/2022,14/11/2022,Turbi,186.14,170.84,154.78
1408,15/10/2022,14/11/2022,Laisamis,183.36,168.06,151.98
1409,15/10/2022,14/11/2022,Merille,183.05,167.75,151.69
1410,15/10/2022,14/11/2022,Korr,184.3,169.0,152.93
1411,15/10/2022,14/11/2022,Nakuru,177.62,162.83,146.79
1412,15/10/2022,14/11/2022,Gilgil,177.58,162.79,146.76
1413,15/10/2022,14/11/2022,Mogotio,177.57,162.78,146.74
1414,15/10/2022,14/11/2022,Molo,177.65,162.86,146.83
1415,15/10/2022,14/11/2022,Olenguruone,178.36,163.56,147.53
1416,15/10/2022,14/11/2022,Londiani,177.88,163.09,147.05
1417,15/10/2022,14/11/2022,Nyahururu,177.87,163.08,147.04
1418,15/10/2022,14/11/2022,Archers Post,180.85,166.06,150.03
1419,15/10/2022,14/11/2022,Lodosoit,181.95,167.16,151.13
1420,15/10/2022,14/11/2022,Naivasha,177.95,163.15,147.11
1421,15/10/2022,14/11/2022,Marigat,178.34,163.55,147.51
1422,15/10/2022,14/11/2022,Kabarnet ,178.83,164.04,148.01
1423,15/10/2022,14/11/2022,Maralal,179.92,165.13,149.1
1424,15/10/2022,14/11/2022,Wamba,180.76,165.97,149.93
1425,15/10/2022,14/11/2022,Rumuruti,178.41,163.62,147.58
1426,15/10/2022,14/11/2022,Eldoret,178.5,163.72,147.67
1427,15/10/2022,14/11/2022,Kiplombe,178.5,163.72,147.67
1428,15/10/2022,14/11/2022,Iten,178.5,163.72,147.67
1429,15/10/2022,14/11/2022,Naiberi,178.5,163.72,147.67
1430,15/10/2022,14/11/2022,Kesses,178.5,163.72,147.67
1431,15/10/2022,14/11/2022,Kapsabet,178.52,163.74,147.68
1432,15/10/2022,14/11/2022,Webuye,178.93,164.15,148.1
1433,15/10/2022,14/11/2022,Kitale,178.86,164.08,148.03
1434,15/10/2022,14/11/2022,Kapenguria ,179.5,164.72,148.67
1435,15/10/2022,14/11/2022,Bungoma,179.26,164.48,148.44
1436,15/10/2022,14/11/2022,Moiben,178.52,163.74,147.68
1437,15/10/2022,14/11/2022,Matunda,178.49,163.7,147.66
1438,15/10/2022,14/11/2022,Burnt Forest,178.45,163.67,147.62
1439,15/10/2022,14/11/2022,Tambach,178.54,163.76,147.71
1440,15/10/2022,14/11/2022,Kapsowar,179.0,164.22,148.18
1441,15/10/2022,14/11/2022,Chebara,178.89,164.1,148.06
1442,15/10/2022,14/11/2022,Kimwarer,178.81,164.03,147.99
1443,15/10/2022,14/11/2022,Timboroa,178.73,163.95,147.9
